,Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
56,Eswatini,1780.0,2013.0,2094.0,2090.0,2144.0,2177.0,2544.0,2773.0,2987.0,3291.0,3642.0,3728.0,3837.0,3956.0,4046.0,4241.0,4396.0,4525.0,4650.0,4810.0,4959.0,5077.0,5333.0,5598.0,5903.0,6396.0,6928.0,7366.0,7513.0,7624.0,7951.0,8239.0,8450,8901,8997,9024,8932,8651,8978,9294,9161,10185,11054,11529,11893,12256,12647,13054
57,Ethiopia,306.0,327.0,341.0,370.0,363.0,321.0,348.0,393.0,396.0,397.0,408.0,379.0,341.0,383.0,391.0,411.0,461.0,469.0,442.0,464.0,507.0,541.0,543.0,511.0,571.0,646.0,724.0,810.0,904.0,985.0,1085.0,1214.0,1315,1408,1681,1862,2134,2321,2520,2752,2908,3137,3434,3685,3933,4211,4518,4850
58,Fiji,2696.0,3054.0,3126.0,3034.0,3389.0,3312.0,3568.0,3380.0,3616.0,4196.0,4569.0,4559.0,4908.0,5114.0,5447.0,5661.0,5995.0,5909.0,6010.0,6577.0,6565.0,6792.0,7069.0,7216.0,7756.0,7841.0,8181.0,8270.0,8472.0,8366.0,8679.0,9056.0,9660,10379,11358,12401,12563,13317,14076,14166,11834,11631,13944,15345,16461,17567,18577,19500
59,Finland,9545.0,10546.0,11485.0,12232.0,13006.0,13823.0,14436.0,15273.0,16592.0,18062.0,18702.0,18109.0,17803.0,18011.0,19039.0,20175.0,21222.0,22886.0,24336.0,25698.0,27735.0,29045.0,29921.0,31055.0,33076.0,34949.0,37343.0,40221.0,41130.0,37867.0,39357.0,41016.0,40969,41587,41836,42570,44995,47622,49227,50677,50079,53654,58659,61009,62977,65006,67167,69441
60,France,10761.0,11840.0,12807.0,13397.0,14037.0,14660.0,15226.0,15927.0,17157.0,18537.0,19680.0,20472.0,21151.0,21408.0,22305.0,23213.0,23882.0,24785.0,25885.0,27021.0,28594.0,29599.0,30199.0,30840.0,32260.0,33594.0,35293.0,36872.0,37432.0,36428.0,37358.0,38790.0,39037,40952,41576,42289,44422,46370,48190,49782,46267,51322,56200,58421,60407,62470,64532,66541
61,Gabon,8862.0,9112.0,9855.0,10221.0,10870.0,11609.0,11344.0,9623.0,10089.0,11842.0,12639.0,13434.0,12912.0,13415.0,13863.0,14496.0,14923.0,15660.0,15987.0,14403.0,14099.0,14367.0,14262.0,14430.0,14618.0,14593.0,14396.0,15264.0,15247.0,14446.0,14967.0,15763.0,15487,15235,15500,14834,14490,15303,15586,16267,15947,16643,18088,19198,20095,20996,21956,22980
62,Gambia,1205.0,1124.0,1389.0,1576.0,1449.0,1488.0,1493.0,1511.0,1529.0,1592.0,1677.0,1702.0,1702.0,1709.0,1630.0,1667.0,1696.0,1674.0,1748.0,1828.0,1912.0,2004.0,1907.0,2013.0,2143.0,2093.0,2081.0,2137.0,2247.0,2341.0,2435.0,2216.0,2200,2121,2027,2067,2069,2073,2210,2319,2292,2417,2640,2813,2968,3106,3227,3353
63,Georgia,,,,,,,,,,,,,,,1710.0,1862.0,2173.0,2533.0,2715.0,2895.0,3074.0,3359.0,3640.0,4148.0,4539.0,5157.0,5860.0,6803.0,7147.0,6964.0,7542.0,8322.0,9799,10610,11583,12100,12855,13596,14582,15608,14754,16906,19789,21379,23040,24775,26656,28694
64,Germany,11130.0,12174.0,12833.0,13591.0,14538.0,15364.0,16042.0,16677.0,17801.0,19033.0,20483.0,21952.0,22733.0,22918.0,23909.0,24738.0,25347.0,26230.0,27083.0,27991.0,29444.0,30592.0,30983.0,31384.0,32645.0,33963.0,36419.0,38605.0,39835.0,37939.0,40101.0,42541.0,43359,44994,47011,47622,50574,53374,55021,56468,54993,58757,63835,65865,68235,71011,73717,76205
65,Ghana,1201.0,1236.0,1175.0,1118.0,1185.0,1272.0,1347.0,1439.0,1550.0,1646.0,1728.0,1828.0,1907.0,1997.0,2061.0,2140.0,2228.0,2339.0,2424.0,2506.0,2464.0,2550.0,2644.0,2766.0,2923.0,3127.0,3331.0,3480.0,3779.0,3931.0,4071.0,4623.0,5152,5321,5595,5233,5021,5148,5481,5822,5805,6245,6780,7041,7286,7626,7971,8459
